,latent_mean_0,latent_mean_1,latent_mean_2,latent_logvar_0,latent_logvar_1,latent_logvar_2,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
82,-1.9985688,0.03126818,-2.313273,-3.7553127,-0.91751075,-3.0614529,-1.822941,-0.25737587,-2.2191849
83,-2.2912798,0.469558,-0.4533448,-4.4989786,-3.5294228,-3.3446884,-2.3705916,0.41343054,-0.3063383
84,-0.88974535,0.77357036,-0.8347434,-1.2216274,-0.53297555,-2.0031867,-0.6323767,1.2023509,-1.0861046
85,1.5481429,-1.0757914,-1.312133,-0.8158989,-0.5504811,-1.9410903,2.1757722,0.14574516,-1.3579247
86,0.7284947,-0.09441882,-0.73589957,-1.3059235,-1.7742695,-2.331139,1.0273914,-0.37788796,-0.7202567
87,-0.884584,2.0134706,-2.0847871,-1.3111453,-1.1605296,-1.3934118,-1.1195208,2.5953286,-1.9444902
88,0.7820528,-0.52471995,-0.9951403,-1.4913653,-3.4207044,-2.3976243,0.49872777,-0.65778273,-0.80163217
89,-0.38680482,2.1667774,-2.070415,-0.6833031,0.24953783,-1.4869661,-1.2812349,2.51943,-2.6530957
90,-1.9402459,1.0582547,-3.046317,-1.8286166,-0.71529937,-1.3345279,-1.8735497,0.5883875,-2.5114431
91,-1.7713045,1.2590959,-1.0942005,-2.8362617,-2.0701456,-2.823843,-1.4731829,0.7881861,-1.3380637
92,-1.4182357,0.56283695,-2.3943584,-0.12740302,-0.27895236,-1.3975035,-3.546649,0.809714,-1.9109856
93,1.7409742,0.49279243,-1.5471519,-0.9952985,-1.0175658,-1.7648021,2.1168404,0.62802523,-2.1871076
94,-1.2297924,1.2692058,-2.2862594,-1.0661815,-0.86469173,-1.3685061,-0.39070278,0.6872513,-1.7160364
95,1.7365117,0.49428934,-1.7593662,-0.9026301,-0.75369596,-1.6451466,1.8096933,0.16005391,-1.4589268
96,-2.4978454,0.78907233,-2.7723126,-7.9278517,-4.27638,-4.3731804,-2.516821,0.75108635,-2.5719347
97,1.5371864,2.8655593,-1.471995,-0.93467903,-0.43550253,-1.6977766,1.6078675,3.010454,-1.2129772
98,0.31853276,-1.6795928,-1.9362804,-2.5659509,-0.60378456,-1.9884642,-0.12523663,-2.3780909,-1.8752499
99,0.32782763,-2.3355017,-1.1310371,-1.0372272,-0.70150506,-1.9478538,2.1930447,-1.2543728,-1.2365015
100,-1.4831636,5.2047315,-3.0253491,-2.2401073,0.41890192,-2.2316778,-1.3056605,4.802707,-2.6946979
101,-1.9234791,-0.36307716,-2.1202214,-4.2454834,-1.2092407,-3.3336942,-1.7109715,0.83048606,-1.9468348
102,-0.9664913,-0.49829867,-1.5697821,-1.6715977,-0.030372918,-1.999022,-0.7203137,0.13929811,-1.3677359
103,-1.7628438,1.1052284,-2.1977375,-1.6790528,-0.9767858,-1.4826741,-1.4236393,1.1896408,-2.1564856
104,-2.088272,0.7131162,-2.5383096,-2.742106,-1.6945343,-1.83598,-1.92459,0.24048528,-2.5556092
105,1.126817,-2.6114266,-2.4441438,-2.1329935,-0.612329,-1.6927743,0.3744099,-3.7158723,-2.6847818
106,0.12577575,0.47804004,-1.8416513,-0.7359376,-1.0815798,-1.7611712,-1.6864293,-0.03165126,-1.7705269
107,-1.0751547,-1.8012211,-0.7899364,-3.239023,-1.0739818,-3.125522,-0.8683799,-1.194129,-0.9767828
108,-2.1816382,3.4161623,-2.3262694,-1.5897784,-0.6870433,-2.2907772,-2.8409925,1.5996449,-2.3188858
109,-1.9619641,2.4269414,-3.583036,-9.4243555,-1.411101,-4.252499,-1.968104,2.1809626,-3.6865609
110,-1.7644362,5.658647,-2.135519,-6.622677,-4.5847116,-3.5901742,-1.8194948,5.6160765,-2.1203327
111,2.051017,2.5706215,-1.72397,-0.7307856,-0.29352403,-1.5427117,2.7510648,4.937209,-1.5582492
112,1.9996784,-0.022493422,-0.70984447,-1.2007589,-1.2122047,-2.1900232,1.7553041,-0.554692,-0.83370596
113,1.3163614,-0.25944027,-1.778803,-0.7627827,-1.327087,-1.7756865,1.5941758,-0.16038778,-1.6328766
114,-1.5969434,0.5512045,-1.0719811,-0.65492237,-1.4609746,-2.0280519,-1.0673919,0.78110033,-2.0781171
115,1.5079162,4.0591044,-2.226369,-0.518775,-0.310301,-1.3707496,2.277537,4.6336613,-2.4911754
116,-0.35502988,-0.6316117,-0.4068289,-1.12082,-1.591473,-2.317534,-1.3065885,-0.6353813,-0.904284
