,latent_mean_0,latent_mean_1,latent_logvar_0,latent_logvar_1,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
185,0.030148417,-2.7653031,-4.217053,-4.0979924,0.03266447,-2.8663228
186,-0.4752654,0.14830786,-3.0386546,-2.0119762,-0.51579756,0.10834673
187,-0.57295144,1.0061806,-3.1522923,-1.9537579,-0.6919019,0.050219774
188,1.0140579,-0.5351255,-1.9582238,-1.9777019,1.2489762,0.18922764
189,1.189833,-0.75244725,-1.7720653,-1.9063929,1.4415625,-1.4300761
190,-0.1785262,-0.87992346,-3.0474458,-2.8352146,0.15751821,-0.5077704
191,0.77244616,-0.63209724,-2.2270446,-0.9605699,0.80274177,-0.29696405
192,-0.48618206,0.22765863,-3.0579827,-2.6920404,-0.0136344135,0.038235903
193,-1.0801358,3.4718719,-6.4155445,-8.234611,-1.0322796,3.494951
194,0.13357785,-1.6459712,-3.496416,-2.361236,0.42985204,-1.3610384
195,0.62677526,1.1295776,-2.324818,-0.6823103,0.5512782,0.9736432
196,-0.71396804,-2.2248769,-3.165957,-2.5921512,-0.8811508,-2.295144
197,-0.72288907,-1.0521964,-3.5656972,-3.5436993,-0.7319,-0.80536664
198,-0.015434176,1.448168,-3.933895,-3.582324,-0.111754395,1.8229465
199,-0.8528793,-3.5036955,-5.303233,-6.8880873,-0.8668024,-3.5148644
200,-0.7771579,0.865432,-3.080392,-1.279347,-0.7580701,0.8246152
201,-0.12325147,0.44186223,-2.867154,-2.562368,0.02502495,0.32753837
202,0.9990667,0.9101632,-2.1544936,-1.1026695,0.8788865,1.0625666
203,-0.3285844,-0.30346715,-2.9779015,-2.2411647,-0.22056383,-0.7771267
204,0.16128096,2.148067,-2.8279247,-1.8557434,-0.012876108,2.0828402
205,-0.09887108,-0.85224414,-2.8101425,-2.5191488,-0.193542,-0.7447102
206,1.4304482,0.041752815,-1.6362433,-1.4309652,1.139246,0.0075048693
207,-0.89426255,1.387586,-3.6791723,-3.5862184,-0.8981164,1.5195946
208,0.2727358,0.28517467,-2.6548102,-1.1054347,0.46955687,0.5883455
209,-0.45177242,-0.9559351,-3.0097332,-2.331318,-0.22120872,-1.2637818
210,-1.1446369,3.7414255,-6.761352,-10.058197,-1.1818066,3.744548
211,-0.32653937,0.4431783,-2.9626863,-2.377947,-0.5922839,0.2866497
212,-0.24074838,-2.3737059,-4.151094,-3.3338447,-0.18615323,-2.3752248
213,-0.21013096,1.1937118,-2.8939648,-2.088315,-0.5564544,0.9978963
214,-0.33718082,-0.9362339,-3.1337657,-2.9707408,-0.7053435,-1.0657856
215,0.22234738,-0.7287477,-2.683325,-2.7159567,0.08972201,-1.3852937
216,1.0907918,-0.15854001,-1.8253608,-1.8333652,0.99282825,-0.065979116
217,0.35160992,-2.2715626,-3.3347716,-2.7073767,0.32226366,-2.4343364
218,-0.081252664,-0.89299524,-2.8848135,-2.6338692,0.004488647,-0.7670655
219,0.8443526,-2.2362957,-2.321621,-0.5736474,1.1303655,-2.133691
220,1.3324362,0.9918309,-1.8994119,-0.599845,1.6580778,1.8306618
221,-0.91283,0.55463934,-3.2645738,-1.9252462,-1.3975534,0.52131283
222,-0.13304684,0.5360638,-2.8579097,-2.418508,0.02460733,0.9051785
223,1.1401848,-0.29908824,-1.9692318,-0.92529523,1.1595135,0.22804737
224,0.33680704,1.4140788,-2.5125732,-2.2848551,-0.11560473,1.2658349
225,-0.24121615,-0.82235277,-2.8624074,-2.2567062,-0.41495702,-1.0200231
226,0.47777668,0.22309446,-2.388142,-2.525682,0.62109685,0.29695606
227,1.4811633,1.1504227,-1.8197114,-0.61435306,1.7489076,1.9046681
228,0.08305451,0.6440333,-2.7177422,-2.218554,-0.018638372,0.99079865
229,-1.0400807,0.5547762,-3.6126401,-2.4108834,-0.9123182,1.2611854
230,1.0076157,-1.5379521,-2.1258419,-0.6936049,1.6775391,-0.04121089
231,0.52244484,0.58005667,-2.3394651,-2.1835475,0.83830297,0.6506645
232,1.1600572,-1.2977437,-1.9651982,-0.72607446,0.6050323,-1.8588772
233,0.825655,0.3421843,-2.069624,-2.091645,0.71294975,0.27438706
234,1.0731462,0.40081745,-1.9705894,-1.6047906,1.4488951,0.21796359
235,-0.7925106,-0.8998395,-3.1307464,-2.3063893,-0.7439799,-0.15347409
236,0.14439914,-0.38080537,-2.7407062,-2.5410142,-0.68480635,-0.24940532
237,0.6641257,0.1724751,-2.2064745,-2.1296215,1.0935755,0.25662
238,0.14997682,-1.8167809,-2.5475395,-1.234726,-0.2140302,-1.6716868
239,-0.063197464,-0.43712413,-2.8890767,-2.8149319,0.0813493,-0.5183254
240,0.30156657,-1.1174012,-2.7465825,-0.850329,0.7016895,-0.15642685
241,0.25683102,1.8594414,-2.817274,-1.6945987,0.76212585,1.6957049
