,latent_mean_0,latent_logvar_0,Gaussian_latent_var_feature_{i}
216,0.50779635,-4.5265093,0.41881263
217,0.6324588,-3.9767985,0.7915727
218,0.7541626,-7.2152514,0.7494296
219,0.32625926,-4.761032,0.39817396
220,0.54106504,-3.9636946,0.44547057
221,-1.3245128,-1.603285,-1.9682484
222,-0.68843305,-2.0606737,-0.76703876
223,-0.4229576,-2.089057,-0.3561914
224,1.5707034,-4.842566,1.5554225
225,-0.9225645,-2.0390053,-1.0845592
226,1.2954895,-6.6371036,1.285927
227,0.84841746,-4.8152003,0.75879115
228,0.22547057,-3.783431,-0.08306521
229,0.58374345,-6.6714945,0.59084165
230,0.35591638,-4.2060575,0.15871643
231,-0.3144759,-2.0633159,-0.34399515
232,-0.21347854,-2.1473298,-0.031930342
233,0.32163194,-4.1760554,0.5822411
234,0.10678716,-3.1818833,0.17114425
235,-0.08782619,-2.841794,-0.29700315
236,-0.70141417,-2.118936,-0.34384257
237,0.39995503,-4.8635106,0.38863745
238,-0.5532846,-2.6549497,-0.6314562
239,0.31998318,-4.341972,0.24994858
240,0.9357125,-8.551221,0.918745
241,-1.4210798,-1.7126721,-2.0617292
242,-0.42180598,-2.8444462,-0.43388566
243,-0.42432725,-2.703864,-0.257268
244,0.38219112,-5.0898757,0.3836381
245,-0.94052327,-1.7685472,-0.941227
246,0.45161963,-3.5624447,0.3164119
247,-1.60504,-1.5522593,-1.1353887
248,-1.1554816,-1.5889524,-0.63826764
249,0.32318807,-4.3051076,0.34433246
250,1.0305074,-6.722405,1.070688
251,0.3198794,-3.3335872,0.48252642
252,0.621554,-4.2462177,0.38281727
253,-0.44215202,-2.3968997,-0.69312906
254,-1.3681282,-1.6110972,-1.4734793
255,-0.3868907,-2.2218084,-0.6629796
256,-1.4058479,-1.677082,-2.3459947
257,-1.3224741,-1.750503,-0.5458482
258,-0.11600304,-2.3145728,0.050663337
259,-0.4417625,-2.2305822,0.01792562
260,0.31200758,-4.8818135,0.27806568
261,-0.23415428,-2.852117,-0.2639264
262,-0.15927273,-2.9704304,-0.23687556
263,0.29672185,-3.052804,0.26430154
264,0.32588896,-2.997179,0.52573895
265,-0.62690455,-1.9864103,-0.5634148
266,-0.18832201,-3.2615972,-0.13088338
267,0.3777069,-4.642536,0.47245216
268,0.32568145,-4.158878,0.039241225
269,-0.39916325,-3.06141,-0.74814224
270,0.6088579,-4.612162,0.6351797
271,1.0636406,-8.421788,1.055283
272,-0.9828408,-1.8899256,-0.4590878
273,-1.9244224,-1.4469298,-2.6182225
274,-1.1095728,-1.8648847,-1.8130654
275,0.9600281,-5.550378,0.9442996
276,-0.92214096,-2.0508084,-0.66179025
277,0.00437814,-2.8592005,0.25273877
278,-0.9058384,-1.8156134,-1.350925
279,-0.33023724,-2.2859783,-0.5593525
280,-0.37311906,-2.88406,-0.24038653
281,0.322422,-4.5248346,0.3977446
282,0.5234901,-5.183714,0.51833075
283,-0.7717443,-2.0832105,-0.81760114
284,0.4240344,-6.7120924,0.41458178
