,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
38,0.17732781,0.44496018,0.9129059,-0.13919719,-2.5449553,-0.96578395,-0.7196335,-1.4062237,0.6326214,0.64654565,1.0685769,-1.1608547
39,0.7913119,0.77932686,0.62018937,1.0479949,-2.187573,-0.50952995,-0.6992177,-1.2494671,0.9368248,1.7768177,1.9620397,1.3288248
40,-0.17356974,1.4172049,1.2235658,-0.18724643,-2.8591933,-1.1557244,-0.7979968,-1.5798995,-0.05986578,2.3285272,0.18186998,-0.06842509
41,0.3654697,-0.5248104,-0.14918274,0.12545705,-2.33741,-0.7493818,-0.7854147,-1.3316932,0.36662185,-1.4987547,-1.8725829,-0.2318733
42,-0.59996265,1.201873,-0.0037062764,-0.029483572,-3.059893,-1.1166894,-0.9709939,-1.7577667,-0.74499345,1.858691,0.056795087,0.07025965
43,-0.031927407,-0.12399669,-0.80345243,0.8832813,-2.6376772,-0.7604565,-1.0364947,-1.6469586,-0.0056049824,-0.4302861,-0.42471835,0.16479856
44,0.5688681,0.12435813,-0.057825267,0.9484653,-2.2690108,-0.5729307,-0.8311651,-1.37083,0.5351026,-0.032496214,-0.72833735,1.6373434
45,0.8406653,0.46130568,-0.41580766,0.43403637,-2.0405073,-0.6141593,-0.6582417,-1.1617742,1.0205452,1.4819391,-0.02119261,1.3981571
46,-0.114489555,-0.5015427,0.14568907,0.2622618,-2.7370477,-0.770483,-0.9557685,-1.5812416,-0.110175595,-0.6427953,0.55487746,0.23084812
47,0.10179645,1.9241103,-0.6722217,0.51683444,-2.6600661,-0.9594619,-0.9241011,-1.5321872,0.5554999,1.2898695,-1.5108948,0.6927915
48,0.4265532,-1.3533586,-0.7355165,-0.15385456,-2.3244002,-0.7164463,-0.8433676,-1.2126151,1.0168586,-0.91849947,-0.19902939,-0.06258847
49,0.29492068,-0.043953195,-0.9671429,-1.167691,-2.3787222,-0.99422216,-0.7237707,-1.0980752,0.17023838,-0.11495137,-1.8617924,-0.7513497
50,1.2867765,-0.033954546,-0.15880066,0.4192121,-1.7625327,-0.43142176,-0.5116118,-0.9623158,1.1599588,1.9778854,0.9801374,-1.1059294
51,1.3949604,-1.2904489,0.30551893,-0.8167511,-1.6676731,-0.54568624,-0.3362412,-0.7515682,1.2311115,-0.5258273,-0.116313994,-0.40678573
52,0.12103993,1.0670587,0.13093144,0.6975991,-2.6381185,-0.8890784,-0.9280862,-1.5673436,-0.185404,0.07272446,-0.26208496,0.43780017
53,0.77064615,-0.23508726,-1.0618279,-0.6825624,-2.027598,-0.83122414,-0.6159264,-0.98421395,0.46235284,-1.0217503,-1.1263568,-0.5416181
54,0.8767447,-0.9736313,-0.6389201,0.36439967,-1.9939727,-0.55273575,-0.74854815,-1.1150059,0.775493,-0.73654443,-0.79223764,-0.8798264
55,-0.52616274,-1.3319436,0.78302974,-0.29964554,-3.050467,-0.70220655,-0.94124526,-1.6128128,-0.569846,-0.38299108,0.706414,-0.3189426
56,0.77806515,0.6076266,-0.9151171,0.744417,-2.1149662,-0.5777464,-0.7679324,-1.2298683,1.2303349,-0.818906,-0.48673704,0.22604531
57,-0.29924023,-0.6171794,0.06764978,-0.16072898,-2.8552778,-0.74368227,-0.9394566,-1.5770215,-0.2819047,-2.455103,0.62423086,-0.37744755
58,-0.112495124,-1.4963793,-0.032117903,-0.039051116,-2.742874,-0.67799735,-0.9647041,-1.4940422,-0.114495315,-2.480547,0.32179183,-0.19569616
59,0.2219606,-1.0426507,0.44751102,-0.2818076,-2.4862275,-0.7775562,-0.7457567,-1.3301535,-0.09577042,-1.1265119,0.30864796,-1.7540267
60,0.33475453,-0.8573026,-1.1376727,0.5912233,-2.392324,-0.74125934,-0.98688996,-1.4187764,0.70936835,0.45035738,-0.29986292,0.3090097
61,0.5556455,0.12627254,-0.29011732,0.4232633,-2.2172084,-0.67999244,-0.7460916,-1.2988855,0.6042167,0.30215114,-2.1176417,1.1321677
62,-0.08946538,0.20902146,0.005949676,-0.5985363,-2.6781502,-0.94852465,-0.77733374,-1.4243895,-0.12158775,0.7493921,0.080523096,0.0026718974
63,-0.06978792,0.67691743,-1.5059736,1.2943846,-2.7081692,-0.782953,-1.0938537,-1.7460108,-0.16126767,0.39468554,-1.8540728,1.5372658
64,0.42290634,0.9621131,-1.9617097,0.15121113,-2.3793144,-0.8390847,-1.0055082,-1.2512289,0.14675856,0.80787694,-3.1086388,1.0850334
