,latent_mean_0,latent_mean_1,latent_mean_2,latent_logvar_0,latent_logvar_1,latent_logvar_2,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
85,-0.99354994,0.3825397,0.03584891,-1.9867198,-1.0208611,-0.03557792,-1.229753,0.6638495,-0.1964363
86,0.17084393,-0.4125381,-0.012205654,-2.905737,-1.7587414,-0.02419013,-0.101925164,-0.4322409,-0.83593607
87,0.20615876,-0.7695436,-0.019235868,-2.9457965,-1.8303695,-0.02858674,0.162251,-1.1825919,0.77114576
88,-1.1012465,-0.2949468,0.046852514,-1.9637946,-0.9596468,-0.05577322,-1.1356288,-0.94938254,1.1323642
89,-1.5256586,-0.9447275,0.08994712,-1.7403055,-0.7763926,-0.102705,-1.0190427,-0.056696713,1.2875016
90,0.75429296,0.85151273,-0.0036414806,-3.2357588,-1.7809335,0.005807594,0.5455203,0.8471084,-0.026128378
91,-0.032280505,0.7752811,0.0062481943,-2.6238308,-1.4011049,0.002936073,-0.0636964,1.1264336,0.09233881
92,0.24241376,0.86707234,0.004209316,-2.8606365,-1.5526805,0.0067237434,0.37893105,1.0875769,-2.3922472
93,0.2787332,0.3408298,-0.0036843559,-2.9410954,-1.6690595,-0.0036549433,0.029740617,-0.054606378,-0.9093306
94,-0.9540187,0.67624664,0.03252979,-1.9595611,-1.0142891,-0.0308209,-0.5366212,0.9538153,1.2858146
95,0.21374553,-0.7823089,-0.019838799,-2.9496906,-1.8332253,-0.028067166,-0.006112218,-0.78581077,1.4359711
96,-1.05837,0.5437001,0.038668744,-1.9259245,-0.9769366,-0.035052046,-1.2769445,0.4357629,-1.3218185
97,0.69469655,0.3238598,-0.014390784,-3.190059,-1.7794381,0.0048901853,0.592446,0.3290489,-1.01021
98,0.56352454,-0.5853887,-0.030446537,-3.148527,-1.8945632,0.00082600256,0.35389912,0.14680147,-1.535673
99,0.45030558,1.1593187,0.0066414173,-3.017198,-1.6511678,0.010280669,0.6612712,0.958242,-0.38338017
100,0.39724988,0.06704903,-0.009076434,-3.0723426,-1.7986119,-0.008218136,0.14953302,-0.17176025,0.07776132
101,0.6619226,-1.5934999,-0.038994927,-3.2657292,-2.4269402,-0.003455331,0.7486427,-1.8156865,1.6507914
102,-0.43498337,-0.9324449,0.01069303,-2.5019886,-1.4002469,-0.03901679,-0.5539359,-1.5886216,0.8907678
103,0.08295661,-1.3574705,-0.015864983,-2.9452844,-1.8137784,-0.035126273,0.22762749,-1.8075161,0.6126834
104,-0.79884493,-1.0840275,0.035577055,-2.2425458,-1.1615112,-0.063148394,-0.8408234,-0.71183753,-0.30770668
105,0.6797245,0.713891,-0.0049233446,-3.1820462,-1.7483798,0.003672563,0.96437514,1.1792775,-0.013285786
106,-0.57987535,1.332319,0.023964781,-2.1661851,-1.1479079,-0.010218162,-0.5366665,0.77183867,-0.53306127
107,-0.5031973,1.277813,0.02261293,-2.2429974,-1.210146,-0.008549765,-0.943227,2.2074397,-0.74170744
