,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_mean_5,latent_mean_6,latent_mean_7,latent_mean_8,latent_mean_9,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,latent_logvar_5,latent_logvar_6,latent_logvar_7,latent_logvar_8,latent_logvar_9,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
19,-0.01655598,0.004622668,-0.011609506,-0.032656603,1.1625044,0.042768195,-0.8896233,0.02485154,0.10639769,-0.009875501,-0.055927157,-0.02926319,-0.042823393,-0.030295944,-2.1115463,-0.008505704,-3.3567588,0.020421032,-2.1664033,-0.005033191,-0.84507716,0.14287633,0.9840612,-2.5250711,1.0231894,0.12660131,-0.7785633,-1.3279325,-0.442452,1.1142052
20,-0.024660219,0.022804057,0.013316054,-0.020562913,0.39923173,0.012397537,0.90760523,0.019030292,0.90730625,-0.012370069,-0.031087108,0.009573471,-0.02490878,-0.008197932,-1.2028366,-0.0049921265,-1.9738262,-0.0072541703,-1.0216582,0.010212986,-1.5585728,0.9677575,-0.91909933,2.3128731,0.6736561,-0.078959286,0.5717348,0.5805494,1.1992646,-0.48609185
21,-0.04091374,0.02042625,0.0036267124,-0.011101263,-0.24594839,0.018738447,0.37464726,0.007289104,-0.42629683,-0.017269922,-0.013449423,0.0088695,-0.006144658,-0.011835818,-1.3898753,0.009374781,-2.3967361,0.011818465,-1.3896711,-0.007966525,0.41359803,0.34563303,0.4973,0.7341141,-0.55413187,-0.47215003,-0.023377985,-0.8720186,-0.68110645,0.12380803
22,-0.02532525,0.024993025,0.01083913,-0.012671518,0.10870382,0.00052525196,1.1455811,0.015181539,0.54527044,-0.013936836,-0.021889295,0.014722256,-0.016193997,-0.011176728,-1.0812743,-0.00771352,-1.8398148,-0.008982185,-0.8712905,0.015632253,-0.6820566,0.20812553,-0.2569496,1.9960368,-0.3157849,0.10954378,1.3522646,-1.9836643,0.7352612,-0.28084782
23,-0.06687783,0.016964711,0.03967317,-0.08114899,-1.6703522,0.048383567,0.16754502,0.008672826,-1.7085526,-0.01374922,-0.012315288,0.020010166,0.015243432,0.023239857,-1.1746988,-0.033015277,-2.3475976,0.052695632,-1.270396,-0.053227432,-1.8445176,1.2651794,-0.12193367,-0.018389523,-1.1460834,-1.8721851,0.017540514,0.6968792,-1.6628845,-1.4839586
24,-0.05863054,0.019072631,-0.0068074204,-0.01097401,-1.1617458,0.036714077,1.1181699,0.03444723,1.8521988,-0.06970672,-0.0064956266,0.012368547,0.029795455,-0.0026158392,-1.5580449,-0.03124217,-2.0084302,0.0029351339,-1.5768203,0.0411741,-0.7207197,0.025489554,0.6397565,-0.6605981,-1.0823355,-0.096759096,0.6710335,-0.7954151,1.7187564,0.66803366
25,-0.068944246,0.060329434,-0.028270198,-0.028342975,1.5976629,0.02623989,0.5826034,0.032076582,0.12519681,-0.020983351,-0.008446278,0.046423502,0.008568078,0.005127983,-0.27755713,-0.010451684,-2.2718546,0.020084461,-1.3016598,0.06502858,-2.1535494,0.9366275,1.2629645,0.49021047,2.5882845,-0.4529205,0.4561833,-0.28286725,-0.20869142,-1.042895e-05
26,-0.047778822,0.0065516364,-0.008331529,-0.041094095,-0.35926542,0.034439825,-0.18188804,0.014932576,0.9374565,-0.02628467,-0.031085575,0.0142797455,-0.013847852,0.0044544376,-0.41810298,-0.003138367,-2.7026436,0.013080224,-1.6163203,-0.00035952497,-1.8418311,1.1197865,2.092738,-1.5797914,-0.43924725,-0.43692237,-0.18183847,-0.61590797,1.0063746,-0.06502804
27,-0.028941438,0.02243267,0.006255814,-0.02736973,0.707503,0.029713444,0.07422784,0.016688108,-0.68600595,-0.007999563,-0.028319135,0.006214088,-0.035650715,-0.01470308,-1.0880251,-2.9245391e-05,-2.635024,0.02941018,-1.7184207,0.0012821201,0.06289319,0.7708569,0.5011286,-0.2737841,1.2206221,0.41041398,0.01586033,1.3292369,-0.4762969,-0.95588917
28,-0.016030941,0.034465786,0.018841334,-0.024845049,0.5822604,0.01604087,1.4344786,0.010527715,-0.37077272,0.0100838,-0.022603394,0.016850375,-0.031198978,-0.0034887139,-0.6152023,0.0029863936,-1.6224002,0.0117264055,-0.8601838,0.017554715,1.6185176,-1.2536813,-0.8724329,0.7684704,0.81457776,-0.34740096,1.6062444,0.5987858,-1.1845355,0.33452874
29,-0.079565085,0.019983,0.024032958,-0.056219775,-2.7859387,0.024152158,0.27543283,0.0037135305,0.058882535,-0.042567924,-0.020134648,0.00849458,0.032837167,0.0019509196,-2.4162555,-0.045108657,-2.47743,0.01013993,-1.2427874,-0.040757254,-0.024775188,-0.44454783,1.9094769,1.0878664,-2.8526683,-0.13977566,0.36703393,1.0591453,0.51701343,-0.8964869
