,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_mean_5,latent_mean_6,latent_mean_7,latent_mean_8,latent_mean_9,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,latent_logvar_5,latent_logvar_6,latent_logvar_7,latent_logvar_8,latent_logvar_9,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
15,-0.0042195,-0.0677484,0.00971988,0.032351326,-0.021989204,-0.5718977,-0.039425194,0.024907708,0.66320074,-0.006745399,0.0026108436,-1.2824869,-0.029575126,-0.0292151,-0.041612856,-2.2211995,-0.6276971,-0.0073552653,-0.77802736,-0.027768005,-0.84138083,-0.31285888,0.20638503,-0.19807678,0.99039745,-0.32306704,0.17512421,0.093021356,0.24990451,-0.68670815
16,-0.005062953,0.7302352,0.004440004,0.04110315,-0.011167062,-0.18338788,0.5066459,0.025145527,0.02945107,-0.008959545,0.005971696,-1.2411025,-0.017693412,-0.029287258,-0.040118083,-2.4370818,-0.7370497,0.0007355325,-0.91289306,-0.026437255,-0.58372194,1.2065362,0.77910864,0.26115915,-0.6256575,-0.7925654,1.1780816,-0.06999177,1.0154384,-0.35494137
17,0.0039033613,0.103185005,0.067640826,0.043428715,-0.045252617,-2.236281,-0.3669049,0.028316924,-0.28770402,-0.015855797,0.016387332,-0.396034,-0.04971467,-0.033508927,-0.05725479,-1.3030715,-0.04121399,-0.0039967727,-0.20992267,-0.023149217,-0.5090402,1.1285487,-0.7532355,0.20996696,0.042545382,-2.3602371,-0.777082,0.83764577,-0.26156813,-0.78528774
18,-0.004636019,-0.55687976,0.014745751,0.044038247,-0.0061797015,-0.67615646,0.32880217,0.024712592,-1.1525453,-0.0018417551,-0.005052939,-1.2203114,-0.020496696,-0.03116298,-0.046905614,-2.1320677,-0.8263031,-0.029201198,-0.5799364,-0.053162277,0.3176249,-1.0434624,-1.8210434,1.212404,-0.16361068,-1.0597575,1.6263852,-2.549907,-2.0345201,-0.028609945
19,0.011364376,-0.16887309,-0.0009730244,0.031840973,0.002023532,0.5325351,1.8650975,0.014228499,1.3979764,-0.014621925,0.022445932,-1.820114,-0.013060464,0.0073633194,-0.0484403,-2.8944106,-1.0801096,0.014355117,-1.067414,-0.03449149,0.66777444,0.029612258,2.396349,-0.73296183,-0.25289148,0.55557084,1.5915977,0.439592,1.1504236,-0.60941595
20,0.007604448,0.029124342,-0.003382356,0.0265259,-0.02071128,0.6947658,0.8390466,0.015446436,2.1086876,-0.02041806,0.012101136,-1.8619471,-0.02136743,0.004425727,-0.044190943,-3.0546854,-1.0607969,0.005182255,-1.3326039,-0.03573325,-0.69787335,-0.4035229,0.2671835,0.54162675,0.83796304,0.5348167,0.8975107,-0.09393601,2.6195045,0.8305549
21,-0.0061071008,-0.9189027,0.016656768,0.042774208,-0.02251349,-0.94088477,-0.3812496,0.02280418,0.13039309,-0.006763936,-0.0014862865,-1.1556971,-0.03354457,-0.0294651,-0.045570597,-2.0516586,-0.59832054,-0.029061936,-0.4318906,-0.047999345,-0.31175503,-1.114104,0.022188257,0.5426597,-0.08834806,-0.88626856,-0.11486977,1.1975079,-0.16054904,1.1704806
22,-0.004103377,-1.2843994,-0.0019497853,0.047685813,0.0038323551,-0.19106627,1.5621104,0.01731629,-0.8072082,-0.006072645,0.010484576,-1.4672192,-0.02222133,0.003417273,-0.056344338,-2.4739642,-1.1433015,-0.016692255,-0.561828,-0.053292394,-0.5676803,-1.3438966,0.19394737,-0.7513349,1.0569186,0.15984488,2.5404813,0.8842585,-0.6373253,-0.9551403
23,-0.002319852,-0.18930253,0.006704282,0.033197008,-0.015945323,-0.42118317,0.5635289,0.024185847,1.0039201,-0.012947205,0.0013250187,-1.3609213,-0.024798188,-0.01615136,-0.03780081,-2.3062615,-0.73049515,-0.0019179955,-0.8623602,-0.029707298,0.7555122,0.10932398,-0.041094888,-1.7128026,-0.47651333,-0.31586498,0.82253087,-1.1021167,0.97322583,-1.1556983
24,-0.011488261,-1.0119412,0.018825818,0.05756128,-0.0051828763,-0.9000537,1.1716491,0.025377065,-0.839329,-0.01794745,0.010077897,-1.0523783,-0.019992262,-0.0077203214,-0.053402163,-2.002275,-0.88840955,-0.027164854,-0.42766142,-0.060129285,0.91266096,-0.88873076,-0.14233358,-0.43307194,0.36309806,-0.8235342,1.334797,-1.5637074,-1.0608796,-0.72437453
