,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
53,0.627951,-0.07261961,0.06955218,-0.35271382,2.7202592,-1.9065739,-0.013817238,-0.157265,-0.60620725,-1.5931731,1.2649903,0.4920035,-0.50520134,0.19679654,2.57571
54,-3.2676353,0.037683457,-0.16317219,-1.9472148,3.103918,-4.6633677,0.1743435,-0.25841218,-1.1820797,-2.4373713,-3.2363737,1.3146725,-2.1505919,-2.3869507,3.3828583
55,1.290429,-0.07956011,-0.06880319,0.40696025,2.226554,-0.52692914,0.03059783,-0.09432537,-0.34042668,-1.3614776,2.23128,-1.2902081,1.5187716,1.1936233,2.46495
56,1.1863751,-0.052342396,-0.04236992,2.6141992,2.086243,-0.8517952,-0.0018610656,-0.10053432,-0.82321835,-1.6105952,1.3919892,0.041650455,-2.1561065,2.6214864,2.0220964
57,-0.20285024,-0.073113374,0.049514137,-1.9986805,2.9315026,-3.3597026,0.00621319,-0.22155187,-1.0091397,-1.9395256,-0.27401367,-0.62490314,-0.26499707,-1.5735793,3.0438092
58,1.1218258,-0.06311272,-0.04069828,-1.2779979,2.199884,-1.1533976,0.034270063,-0.078307554,-0.6274644,-1.8126827,1.0931412,-0.40679348,0.86172414,-0.7082197,1.768555
59,-0.18693487,0.00089830457,-0.006652733,-1.6010113,0.676211,-1.3896604,0.055959962,-0.028074497,-1.0640252,-2.3231459,0.5621414,1.4275569,-1.0621324,-2.3380427,0.7825517
60,-0.45116746,-0.0583051,-0.106976904,-0.88448536,2.7445774,-1.5633637,0.08990181,-0.14957665,-0.3496573,-1.6600641,-0.33952585,-0.034282103,-0.59355575,-0.45573428,2.551419
61,-1.3551383,-0.025038116,-0.11244276,3.112338,2.3354032,-1.6981605,0.08163281,-0.15268515,-0.5421741,-1.7393517,-1.6881732,-0.7561666,-0.33387005,5.021509,2.5588908
62,3.1033878,-0.090382874,0.19318587,-1.4673887,1.8088045,-1.0091356,-0.086800836,-0.06617231,-0.31671,-1.4682186,2.9555554,-0.32726538,1.4655273,-2.1402347,2.0372944
63,-3.0038767,-0.048099276,-0.007399484,0.6192678,2.7161283,-2.2959182,0.024038358,-0.19721994,-1.5671167,-1.8514161,-2.4380338,-0.7898002,-0.019875253,0.72015405,3.0261145
64,-1.509295,0.03410037,-0.13094296,2.1963801,1.1106836,-2.3130379,0.121945195,-0.10511122,-0.9056084,-2.0877655,-2.219797,-0.43774086,-0.05699064,2.425058,1.4209536
65,-4.108552,-0.055749837,-0.06694068,-1.4075127,3.3633614,-3.8543744,0.072278626,-0.28841236,-1.705962,-2.0932908,-3.8557982,0.15932766,0.85699064,-1.906012,2.9047863
66,-3.2271354,-0.03220933,0.0337431,-0.118071824,2.0609083,-2.2575195,0.0124341175,-0.15004842,-1.7291286,-1.8175305,-3.3274856,0.35185045,0.11241582,0.39170542,1.8314787
67,2.4474373,-0.06574946,-0.06924425,-0.45119473,2.5614882,-1.5532987,0.02205489,-0.09362366,-0.6536027,-2.051219,2.3568392,0.60607725,-0.29397047,-0.052479953,2.2182622
68,-1.6259519,-0.007844876,0.014077337,-0.09261209,1.571403,-0.70299995,0.050189912,-0.07726456,-0.9538441,-1.5028465,-1.676644,0.89836663,0.06192942,-0.9520507,1.2842745
69,-1.7879262,-0.0130587565,-0.010379804,4.213149,1.5255061,-1.4282504,0.031166276,-0.09564328,-1.2164336,-2.0992937,-1.3789346,0.1765787,1.7900174,3.4714024,1.7066993
70,-1.0598576,0.00563931,-0.012361648,-1.6772838,1.2450316,-1.3721901,0.074343875,-0.061992876,-1.0724461,-1.9237399,-1.3250552,-0.50382936,-0.57458854,-1.4321759,1.0180192
